Postal Code,Place Name,State,County,Latitude,Longitude
1395,Hvalstad,Akershus,Asker,59.8567,10.466
1396,Billingstad,Akershus,Asker,59.8305,10.4749
1397,Nesøya,Akershus,Asker,59.8702,10.5289
1399,Asker,Akershus,Asker,59.8201,10.3825
1930,Aurskog,Akershus,Aurskog-Høland,59.9167,11.4333
1931,Aurskog,Akershus,Aurskog-Høland,59.9167,11.4333
1940,Bjørkelangen,Akershus,Aurskog-Høland,59.8848,11.5694
1941,Bjørkelangen,Akershus,Aurskog-Høland,59.8848,11.5694
1954,Setskog,Akershus,Aurskog-Høland,59.8266,11.7217
1960,Løken,Akershus,Aurskog-Høland,59.8,11.4833
1961,Løken,Akershus,Aurskog-Høland,59.8,11.4833
1963,Fosser,Akershus,Aurskog-Høland,59.8167,11.4833
1970,Hemnes,Akershus,Aurskog-Høland,59.7167,11.4667
1920,Sørumsand,Akershus,Sørum,59.9851,11.2398
1921,Sørumsand,Akershus,Sørum,59.9851,11.2398
1923,Sørum,Akershus,Sørum,60,11.2333
1925,Blaker,Akershus,Sørum,59.9774,11.3624
1927,Rånåsfoss,Akershus,Sørum,60.0312,11.3374
2016,Frogner,Akershus,Sørum,60.0167,11.1
2017,Frogner,Akershus,Sørum,60.0167,11.1
1900,Fetsund,Akershus,Fet,59.929,11.1625
1901,Fetsund,Akershus,Fet,59.929,11.1625
1903,Gan,Akershus,Fet,59.8667,11.2167
1910,Enebakkneset,Akershus,Fet,59.7833,11.25
2005,Rælingen,Akershus,Rælingen,59.9429,11.0565
2006,Løvenstad,Akershus,Rælingen,59.9429,11.0565
2008,Fjerdingby,Akershus,Rælingen,59.9263,11.0653
2009,Nordby,Akershus,Rælingen,59.8667,11.1
2014,Blystadlia,Akershus,Rælingen,59.9312,11.0386
2018,Løvenstad,Akershus,Rælingen,59.9374,11.0216
2025,Fjerdingby,Akershus,Rælingen,59.9263,11.0653
1911,Flateby,Akershus,Enebakk,59.8333,11.1667
1912,Enebakk,Akershus,Enebakk,59.7619,11.1475
1914,Ytre Enebakk,Akershus,Enebakk,59.7303,11.0328
1916,Flateby,Akershus,Enebakk,59.8333,11.1667
1917,Ytre Enebakk,Akershus,Enebakk,59.724,11.0505
1468,Finstadjordet,Akershus,Lørenskog,59.9145,10.968
1469,Rasta,Akershus,Lørenskog,59.9234,10.937
1470,Lørenskog,Akershus,Lørenskog,59.9373,10.955
1471,Lørenskog,Akershus,Lørenskog,59.9214,10.954
